Region code;Region name (sourced);Item code;Item name (sourced);Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
FR19 approx.;FR246 - Loiret;1554;Total population;total / number;621230;625235;629070;633019;636707;641169;645325;647733;650769;653510;656105;659587;662681;665644;;;
FR20 approx.;FR251 - Calvados;1554;Total population;total / number;651193;654684;658189;661498;664769;668210;671351;673667;678206;680908;683105;685262;687378;688887;;;
FR21 approx.;FR411 - Meurthe-et-Moselle;1554;Total population;total / number;715684;717358;719199;720638;721734;723797;725302;726592;729768;731019;732207;733124;734283;735062;;;
FR22 approx.;FR512 - Maine-et-Loire;1554;Total population;total / number;736867;742072;747089;751708;756253;761529;766659;770777;774823;780082;784810;790343;795627;800424;;;
FR24 approx.;FR261 - C?te-d'Or;1554;Total population;total / number;508015;509714;511197;512591;514022;515829;517168;519143;521608;524144;524358;525931;527268;528403;;;
FR25 approx.;FR522 - Finist?re;1554;Total population;total / number;855924;860540;865006;869205;873568;878532;883001;885906;890509;893914;897628;899870;902817;905164;;;
FR04;Lille;1554;Total population - ESPON;total / number;;1218819;;;;;1271398;;;;;;;;;;
FR07;Bordeaux;1554;Total population - ESPON;total / number;;1003358;;;;;1089706;;;;;;;;;;
FR08;Nantes;1554;Total population - ESPON;total / number;;795206;;;;;861586;;;;;;;;;;
FR09;Strasbourg;1554;Total population - ESPON;total / number;;802150;;;;;839807;;;;;;;;;;
FR10;Montpellier;1554;Total population - ESPON;total / number;;503442;;;;;563273;;;;;;;;;;
FR11;Grenoble;1554;Total population - ESPON;total / number;;666681;;;;;697911;;;;;;;;;;
FR12;Toulon;1554;Total population - ESPON;total / number;;525200;;;;;554228;;;;;;;;;;
FR13;Rennes;1554;Total population - ESPON;total / number;;591451;;;;;653109;;;;;;;;;;
FR14;Rouen-Elboeuf;1554;Total population - ESPON;total / number;;672369;;;;;683390;;;;;;;;;;
