RegionCode;Region/CityName;CountryName;CountryCode;ProductID;ProductName;Unit;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
R041;Australia;Tasmania;AU;2666;Passenger cars in use;number;;243425;246422;247492;255721;263365;271365;275146;280856;285803;290793;295955;303622;305913;308555;312993;
R041;Australia;Tasmania;AU;2668;Motorcycles and Mopeds in Use;number;;8428;8810;8582;9036;9460;10488;11181;12297;13425;14321;15052;16446;17457;18058;18640;
R041;Australia;Tasmania;AU;2667;Commercial Vehicles in Use;number;;79220;79825;82410;85646;89309;92993;94899;98174;101288;105096;108002;111923;113629;115962;118770;
R037;Australia;Northern Territory;AU;2666;Passenger cars in use;number;;67850;68524;68275;68916;71385;73302;75618;77683;80563;84167;85216;87284;91071;92150;93499;
R037;Australia;Northern Territory;AU;2668;Motorcycles and Mopeds in Use;number;;3594;3414;3244;3229;3396;3950;4365;4930;5495;5936;5861;6103;6640;6932;7144;
R037;Australia;Northern Territory;AU;2667;Commercial Vehicles in Use;number;;31380;31857;32740;33871;35038;36763;38195;40373;42700;44597;46005;47714;50858;53095;54392;
R035;Australia;Australian Capital Territory;AU;2666;Passenger cars in use;number;;175552;179312;183719;185603;188641;191763;195855;205199;208496;213317;217020;223472;229060;233439;236941;
AU07;Australia;Canberra;AU;2666;Passenger cars in use;number;;175552;179312;183719;185603;188641;191763;195855;205199;208496;213317;217020;223472;229060;233439;236941;
R035;Australia;Australian Capital Territory;AU;2668;Motorcycles and Mopeds in Use;number;;6433;6775;7014;7092;7385;8022;8685;10156;11392;12093;12166;12836;13077;13040;13093;
AU07;Australia;Canberra;AU;2668;Motorcycles and Mopeds in Use;number;;6433;6775;7014;7092;7385;8022;8685;10156;11392;12093;12166;12836;13077;13040;13093;
R035;Australia;Australian Capital Territory;AU;2667;Commercial Vehicles in Use;number;;21406;21924;22663;22994;23526;24291;24805;26407;27097;28438;29718;30856;31787;32873;33538;
AU07;Australia;Canberra;AU;2667;Commercial Vehicles in Use;number;;21406;21924;22663;22994;23526;24291;24805;26407;27097;28438;29718;30856;31787;32873;33538;
