"CityCodeID","CityCode","CountryCode","CityName","CountryName","ProductID","ProductName","Unit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
757,"AJ01","AJ","Baku","Azerbaijan",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,247.728,309.396,364.971,431.046,472.458,518.205,562.69,609.426,643.155,645.244,672.900034368673,694.575622873213
1115,"ID08","ID","Makasssar","Indonesia",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,53.9838662573052,72.4272167797207,72.9250941300994,73.5799753022114,79.5052655885367,89.4791469401732,96.1307359588167,102.105739287581,112.893979995948,114.148781005621,119.153519206725,124.058848384195
922,"CN56","CN","Lanzhou","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,19.8291181118319,23.0579659271162,28.1962079736968,34.0542121878125,46.2020075349391,60.7016273382307,77.1493888995606,96.9217771751038,118.127505683307,135.734683890655,152.547505656601,167.444804068883
758,"AJ02","AJ","Ganja","Azerbaijan",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,19.991,22.395,25.425,28.145,30.262,30.152,32.234,35.089,37.76,35.77,36.8591769626131,37.6478945591132
923,"CN57","CN","Guiyang","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,20.5884996953445,25.7836994420132,32.9942249917064,40.909889307057,54.1721482703309,71.833078034438,90.0375958507924,114.465281492874,143.242823974508,167.119650939435,190.243482408651,211.748595757916
1072,"GB04","GB","Birmingham","UK",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,1577.31,1524.26,1542.166,1552.824,1534.669,1562.538,1635.479,1625.982,1596.639,1636.417,1646.44673609921,1640.42097007732
783,"AT01","AT","Vienna","Austria",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,1287.5268511028,1302.97799164776,1312.85227736201,1327.73108392353,1340.373,1361.427,1379.261,1395.394,1407.571,1419.269,1430.25465663736,1440.56994865893
1117,"ID10","ID","Pekanbaru","Indonesia",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,32.8310654386876,46.14988317603,58.2993781630779,65.5413151547499,69.1878219574919,71.4324894485098,76.3529107260242,83.6690279016852,88.770321491501,89.6771749914681,94.0067338299073,98.3745421176439
925,"CN59","CN","Suzhou","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,83.5921485058886,114.147762817193,149.991162918877,187.165174588429,245.626607691376,324.238908019449,402.687577331221,486.625646401045,579.444805350906,663.835890977315,741.262133984262,810.495951811683
1205,"JP02","JP","Osaka","Japan",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,15846.64608514,15794.1484251708,15756.9492707897,15778.4072768295,15845.2461313042,15890.9225804031,16032.3971662273,16173.1556139005,16337.3165425447,16346.2082185768,16402.4792109046,16468.0525469154
926,"CN60","CN","Urumqi","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,45.1847109001419,52.6993325119409,64.3032677966022,78.3464446915779,98.5926593111848,129.045187778495,171.890370421161,229.196322822529,273.808243483468,323.789586121642,374.512762613811,421.801530552081
784,"AT02","AT","Graz","Austria",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,342.68651914563,346.248014008655,350.829995607633,356.19515399624,361.241160722883,367.592146690671,373.141045761378,378.509913187534,383.629732088557,388.137324237117,391.646411695681,395.125041437674
785,"AT03","AT","Linz","Austria",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,362.802004549636,365.654873089444,368.843652667527,373.473366117379,377.406179329725,383.498563170013,389.495424926799,395.013564751781,398.768642989357,402.073753118165,405.274065638473,408.265570964282
1119,"ID12","ID","Denpasar","Indonesia",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,64.2013322953282,86.4670372410323,93.0612276897004,94.7611491910903,99.2479519288926,105.309110177029,113.128617509093,118.53796239686,125.188184280944,127.137034904739,132.004581771809,136.496715441862
928,"CN62","CN","Nanchang","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,13.818411526099,17.6490517804577,22.3363161776868,27.8540611760061,38.2317061200493,51.2079155172617,65.5697031974783,81.3576846462489,100.617902696247,116.783964670008,131.980041107181,145.518577770268
786,"AT04","AT","Salzburg","Austria",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,170.448065042067,172.35154691398,173.887348107233,176.858256023815,179.227,183.632,186.288,189.882,192.571,195.117,197.440948813621,199.87968584591
929,"CN63","CN","Nanning","China",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,27.5544303829337,33.3227948588477,41.0988758791642,50.5167854261927,65.9092244046146,85.5015156119932,107.417574767497,131.634357329362,163.110086471234,187.471912632572,210.710527094128,231.725430383276
1076,"GB08","GB","Edinburgh","UK",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,307.496,307.825,312.858,316.411,318.647,320.351,322.728,325.367,330.063,337.155,339.907330626469,342.968322008993
787,"AT05","AT","Innsbruck","Austria",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,126.660425522409,128.027824889545,129.274516533496,131.103470170354,133.01,135.92,138.483,141.079,143.358,145.655,147.482925810678,149.222132509626
1121,"ID14","ID","Samarinda","Indonesia",2666,"Passenger cars in use","'000",NA,NA,NA,NA,NA,18.3770681542767,24.4068637483108,36.2243204161304,36.2260880606159,38.7027318293151,40.5017295073346,42.9801365198276,46.2046840414402,49.4332435432316,49.6055089653708,51.5684618812241,53.5865627917469
